sid,model,n,auroc,err_baseline,err_stress
S10,autoencoder_baseline_only,71,0.6103896103896104,0.30428051948547363,0.3106840252876282
S11,autoencoder_baseline_only,70,0.8406219630709427,0.2887062430381775,0.3041735291481018
S13,autoencoder_baseline_only,70,0.6190476190476191,0.28730693459510803,0.2865214943885803
S14,autoencoder_baseline_only,70,0.9446064139941691,0.2893456518650055,0.3238668441772461
S15,autoencoder_baseline_only,70,0.5481049562682215,0.3067259192466736,0.3095889985561371
S16,autoencoder_baseline_only,68,0.55625,0.2930491864681244,0.3105126619338989
S17,autoencoder_baseline_only,72,0.9724933451641526,0.2882115840911865,0.35453128814697266
S2,autoencoder_baseline_only,66,0.23628219484882418,0.3270205557346344,0.3071114718914032
S3,autoencoder_baseline_only,67,0.6606382978723405,0.3056311011314392,0.33183616399765015
S4,autoencoder_baseline_only,67,0.581140350877193,0.299003005027771,0.3026584982872009
S5,autoencoder_baseline_only,69,0.8214285714285714,0.2903890907764435,0.3127981722354889
S6,autoencoder_baseline_only,68,0.07083333333333335,0.2981790006160736,0.278761088848114
S7,autoencoder_baseline_only,68,0.693877551020408,0.30706167221069336,0.32278940081596375
S8,autoencoder_baseline_only,68,0.6828774062816615,0.28691357374191284,0.29615357518196106
S9,autoencoder_baseline_only,68,0.4833333333333334,0.30709949135780334,0.30207058787345886
