sid,model,thr,n,pos_frac,auroc,f1,bal_acc
S10,gbm_features,0.3499999999999999,71,0.30985915492957744,0.9805194805194806,0.8148148148148148,0.8979591836734694
S11,gbm_features,0.25999999999999995,70,0.3,0.9980563654033042,0.9130434782608695,0.9591836734693877
S13,gbm_features,0.16999999999999998,70,0.3,1.0,0.8936170212765957,0.9489795918367347
S14,gbm_features,0.29,70,0.3,0.979591836734694,0.09090909090909091,0.5238095238095238
S15,gbm_features,0.27999999999999997,70,0.3,0.9747327502429544,0.9047619047619048,0.9319727891156462
S16,gbm_features,0.74,68,0.29411764705882354,1.0,0.9743589743589743,0.975
S17,gbm_features,0.63,72,0.3194444444444444,1.0,0.8679245283018868,0.9285714285714286
S2,gbm_features,0.38999999999999996,66,0.2878787878787879,0.9966405375139978,0.8125,0.8421052631578947
S3,gbm_features,0.29,67,0.29850746268656714,0.9127659574468084,0.7894736842105263,0.8430851063829787
S4,gbm_features,0.63,67,0.2835820895522388,1.0,1.0,1.0
S5,gbm_features,0.7499999999999999,69,0.2898550724637681,0.9836734693877551,0.95,0.9647959183673469
S6,gbm_features,0.6499999999999999,68,0.29411764705882354,0.9760416666666667,0.9230769230769231,0.9395833333333333
S7,gbm_features,0.6699999999999999,68,0.27941176470588236,1.0,0.95,0.9795918367346939
S8,gbm_features,0.6799999999999999,68,0.3088235294117647,1.0,0.8333333333333334,0.8571428571428572
S9,gbm_features,0.5099999999999999,68,0.29411764705882354,1.0,0.8571428571428571,0.875
S10,cnn_raw,,71,0.30985915492957744,0.9777365491651206,0.5945945945945946,0.6938775510204082
S11,cnn_raw,,70,0.3,1.0,0.95,0.9523809523809523
S13,cnn_raw,,70,0.3,0.9902818270165209,0.6,0.7142857142857143
S14,cnn_raw,,70,0.3,1.0,0.8571428571428571,0.9285714285714286
S15,cnn_raw,,70,0.3,0.8483965014577259,0.7058823529411765,0.8061224489795917
S16,cnn_raw,,68,0.29411764705882354,1.0,1.0,1.0
S17,cnn_raw,,72,0.3194444444444444,0.9911268855368235,0.9333333333333333,0.9463176574977816
S2,cnn_raw,,66,0.2878787878787879,0.7603583426651735,0.18181818181818182,0.541993281075028
S3,cnn_raw,,67,0.29850746268656714,0.9191489361702128,0.46153846153846156,0.65
S4,cnn_raw,,67,0.2835820895522388,1.0,1.0,1.0
S5,cnn_raw,,69,0.2898550724637681,0.9989795918367347,0.9473684210526315,0.95
S6,cnn_raw,,68,0.29411764705882354,0.9937499999999999,0.5128205128205128,0.6041666666666666
S7,cnn_raw,,68,0.27941176470588236,1.0,0.9142857142857143,0.9210526315789473
S8,cnn_raw,,68,0.3088235294117647,0.9989868287740628,0.975609756097561,0.9761904761904762
S9,cnn_raw,,68,0.29411764705882354,0.8479166666666668,0.6818181818181818,0.78125
