sid,model,thr,n,pos_frac,auroc,f1,bal_acc
S10,gbm_features,0.3999999999999999,71,0.30985915492957744,1.0,1.0,1.0
S11,gbm_features,0.7599999999999999,70,0.3,0.9863945578231292,0.8,0.8333333333333333
S13,gbm_features,0.18,70,0.3,1.0,0.9545454545454546,0.9795918367346939
S14,gbm_features,0.10999999999999999,70,0.3,0.9873663751214772,0.8936170212765957,0.9489795918367347
S15,gbm_features,0.13,70,0.3,0.9980563654033041,0.9545454545454546,0.9795918367346939
S16,gbm_features,0.19,68,0.29411764705882354,1.0,1.0,1.0
S17,gbm_features,0.8699999999999999,72,0.3194444444444444,0.9121561668145519,0.23076923076923078,0.5652173913043478
S2,gbm_features,0.4599999999999999,66,0.2878787878787879,1.0,0.926829268292683,0.9680851063829787
S3,gbm_features,0.7499999999999999,67,0.29850746268656714,0.9340425531914893,0.7567567567567568,0.8180851063829787
S4,gbm_features,0.6,67,0.2835820895522388,1.0,1.0,1.0
S5,gbm_features,0.15999999999999998,69,0.2898550724637681,1.0,0.9302325581395349,0.9693877551020409
S6,gbm_features,0.21999999999999997,68,0.29411764705882354,1.0,0.9523809523809523,0.9791666666666667
S7,gbm_features,0.7499999999999999,68,0.27941176470588236,1.0,1.0,1.0
S8,gbm_features,0.16999999999999998,68,0.3088235294117647,1.0,1.0,1.0
S9,gbm_features,0.59,68,0.29411764705882354,1.0,0.9743589743589743,0.975
